Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
0,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473132600,,,,,,,919.3,,,,2.7,,18,,,,,,,,,,,,24.5,,,40.43743056,-79.86357222
1,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473136200,,,,,,,1017.7,,,,10.5,,17,,,,,,,,,,,,29.5,,,40.43743056,-79.86357222
2,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473139800,,,,,,,809.7,,,,11,,21,,,,,,,,,,,,29.5,,,40.43743056,-79.86357222
3,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473143400,,,,,,,,,,,6.6,,27,,,,,,,,,,,,24.7,,,40.43743056,-79.86357222
4,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473147000,,,,,,,584.8,,,,,,25,,,,,,,,,,,,,,,40.43743056,-79.86357222
5,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473150600,,,,,,,600.2,,,,14.3,,24,,,,,,,,,,,,25.5,,,40.43743056,-79.86357222
6,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473154200,,,,,,,621.2,,,,2.6,,24,,,,,,,,,,,,17.2,,,40.43743056,-79.86357222
7,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473157800,,,,,,,628.4,,,,5.4,,23,,,,,,,,,,,,17.3,,,40.43743056,-79.86357222
8,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473161400,,,,,,,618.1,,,,8.3,,26,,,,,,,,,,,,16.4,,,40.43743056,-79.86357222
9,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473165000,,,,,,,2929.4,,,,18.7,,30,,,,,,,,,,,,18.7,,,40.43743056,-79.86357222
10,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473168600,,,,,,,1565.2,,,,17.3,,56,,,,,,,,,,,,20.6,,,40.43743056,-79.86357222
11,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473172200,,,,,,,712.7,,,,10.2,,37,,,,,,,,,,,,18.3,,,40.43743056,-79.86357222
12,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473175800,,,,,,,,,,,12.1,,18,,,,,,,,,,,,19.1,,,40.43743056,-79.86357222
13,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473179400,,,,,,,,,,,,,14,,,,,,,,,,,,,,,40.43743056,-79.86357222
14,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473183000,,,,,,,592.7,,,,,,13,,,,,,,,,,,,,,,40.43743056,-79.86357222
15,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473186600,,,,,,,745.8,,,,8.6,,11,,,,,,,,,,,,14.1,,,40.43743056,-79.86357222
16,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473190200,,,,,,,1109.8,,,,12.7,,13,,,,,,,,,,,,19.7,,,40.43743056,-79.86357222
17,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473193800,,,,,,,911.1,,,,6.6,,10,,,,,,,,,,,,13,,,40.43743056,-79.86357222
18,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473197400,,,,,,,919.6,,,,6.2,,21,,,,,,,,,,,,11.7,,,40.43743056,-79.86357222
19,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473201000,,,,,,,922.6,,,,6.8,,19,,,,,,,,,,,,13.2,,,40.43743056,-79.86357222
20,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473204600,,,,,,,1163.1,,,,6.2,,15,,,,,,,,,,,,16.2,,,40.43743056,-79.86357222
21,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473208200,,,,,,,1048.1,,,,4.8,,19,,,,,,,,,,,,21.6,,,40.43743056,-79.86357222
22,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473211800,,,,,,,978.4,,,,10.1,,21,,,,,,,,,,,,25.6,,,40.43743056,-79.86357222
23,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473215400,,,,,,,1172.2,,,,11.1,,15,,,,,,,,,,,,27.2,,,40.43743056,-79.86357222
24,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473219000,,,,,,,1399.2,,,,14.4,,15,,,,,,,,,,,,30.2,,,40.43743056,-79.86357222
25,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473222600,,,,,,,780,,,,4.3,,16,,,,,,,,,,,,23.8,,,40.43743056,-79.86357222
26,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473226200,,,,,,,860.6,,,,2.8,,12,,,,,,,,,,,,19,,,40.43743056,-79.86357222
27,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473229800,,,,,,,,,,,3.5,,21,,,,,,,,,,,,23.6,,,40.43743056,-79.86357222
28,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473233400,,,,,,,873.9,,,,,,24,,,,,,,,,,,,,,,40.43743056,-79.86357222
29,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473237000,,,,,,,575.2,,,,6.7,,19,,,,,,,,,,,,20.1,,,40.43743056,-79.86357222
30,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473240600,,,,,,,590.1,,,,12.3,,15,,,,,,,,,,,,21.3,,,40.43743056,-79.86357222
